Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	TLC
Perturbation:	SnapShot-150 v5.2
Perturbation:	Quick Prime-3 v5.2
Perturbation:	Prime-8 v5.2
Perturbation:	PVs-V v5.2
Perturbation:	PVr-V v5.2
Perturbation:	PVr-P v5.2
Perturbation:	PVs-P v5.2
 
 
Data
----
 
 Event  ID 	Timestamp	 Event  Type 	Comments	Vt	RR	I:E	 End  inspiratory  pause 	Pmax	Vt/weight	PEEP	Ptr,mean	Ptr,max	Ptr,min	Ptr,p-p	Vtr,p-p	Pcyl,p-p	Vol,p-p	Vend	Vend/wt	Vtr,end	Ptr,end	Rn	I	G	H	eta	CODcp
				mL	br/min	%	s	cmH2O	mL/kg	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	mL	cmH2O	mL	mL	mL/kg	mL	cmH2O	cmH2O.s/mL	cmH2O.s.s/mL	cmH2O/mL	cmH2O/mL		
																											
11	 12/11/2015  11:03:26  AM 	 Ventilation  (Pressure  limited) 	 Default  settings  restored 	0.24	150	66.667	0	30	10																		
12	 12/11/2015  11:07:34  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  TLC) 								1.4845	22.894	30.623	1.4529	29.17	1.2938	29.195	1.5187	1.5113	62.972	1.2888	30.26						
14	 12/11/2015  11:21:58  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
15	 12/11/2015  11:21:58  AM 	 User  marker 	 Realizando  2  manobras  TLC.  From  script  '15_09_15_PBS_Cida_Z' 																								
16	 12/11/2015  11:22:00  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  TLC) 								2.2027	22.998	30.436	2.1848	28.251	0.95002	28.255	1.1687	1.1659	48.579	0.94817	30.191						
17	 12/11/2015  11:22:13  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  TLC) 								2.5303	23.025	30.539	2.499	28.04	0.88172	28.058	1.0969	1.0953	45.638	0.87957	30.183						
18	 12/11/2015  11:22:19  AM 	 User  marker 	 PBS.  From  script  '15_09_15_PBS_Cida_Z' 																								
19	 12/11/2015  11:22:51  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5851	3.2689	4.3289	2.3345	1.9943	0.084658	2.6817	0.095483					0.23323	0.00020756	3.5336	18.191	0.19425	0.99024
20	 12/11/2015  11:23:02  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.52	3.135	4.2592	2.1384	2.1207	0.084279	2.7155	0.09552					0.24998	0.00014416	3.5026	19.274	0.18173	0.98914
21	 12/11/2015  11:23:12  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3398	3.109	4.2315	2.1281	2.1034	0.083646	2.7836	0.095329					0.23093	0.00015913	3.5663	19.158	0.18616	0.99144
22	 12/11/2015  11:23:23  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5335	3.1419	4.294	2.1124	2.1817	0.083259	2.7698	0.094642					0.24492	0.00011041	3.5854	19.377	0.18504	0.99058
23	 12/11/2015  11:23:34  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4312	3.1051	4.2852	2.0946	2.1906	0.084555	2.9135	0.09574					0.23434	7.7854E-5	3.7213	19.205	0.19377	0.98267
24	 12/11/2015  11:23:45  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4857	3.1294	4.3149	2.1353	2.1796	0.084358	2.8778	0.095747					0.24155	0.00010499	3.5653	19.517	0.18268	0.98342
25	 12/11/2015  11:23:56  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5085	3.1372	4.285	2.1704	2.1146	0.082856	2.783	0.094813					0.23749	-4.8017E-5	3.5106	19.704	0.17817	0.99261
26	 12/11/2015  11:24:07  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3295	3.0966	4.3047	2.0703	2.2343	0.08367	2.9177	0.09572					0.24646	-8.5693E-6	3.5717	19.5	0.18316	0.98652
27	 12/11/2015  11:24:18  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4082	3.14	4.283	2.1218	2.1612	0.082163	2.7769	0.09447					0.24546	7.2791E-5	3.4825	19.666	0.17708	0.99459
28	 12/11/2015  11:24:29  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3961	3.153	4.2885	2.1505	2.138	0.08431	2.761	0.095906					0.2443	6.5732E-5	3.5346	19.523	0.18105	0.99499
29	 12/11/2015  11:24:40  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3417	3.1229	4.3139	2.1154	2.1985	0.083416	2.8079	0.095481					0.24455	2.686E-5	3.6174	19.364	0.18681	0.99097
30	 12/11/2015  11:24:50  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4998	3.1231	4.327	2.116	2.2109	0.083266	2.9056	0.095115					0.23975	7.9613E-5	3.609	19.75	0.18274	0.99528
31	 12/11/2015  11:25:01  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3755	3.1295	4.3159	2.0945	2.2214	0.083269	2.8171	0.095144					0.24548	0.00011287	3.6283	19.638	0.18476	0.99043
32	 12/11/2015  11:25:12  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4566	3.1266	4.272	2.1049	2.1671	0.083879	2.8547	0.095073					0.24504	4.1468E-6	3.5706	19.652	0.18169	0.99201
33	 12/11/2015  11:25:23  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3963	3.1462	4.2796	2.1108	2.1687	0.082459	2.7787	0.094754					0.24505	3.4323E-5	3.6406	19.605	0.1857	0.99062
34	 12/11/2015  11:27:42  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
37	 12/11/2015  11:27:47  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
38	 12/11/2015  11:27:47  AM 	 User  marker 	 MCh  30  ug/kg.  From  script  '15_09_15_Mch_30ug-kg_Cida_Z' 																								
(39)	 12/11/2015  11:28:58  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5293	3.1391	4.3501	2.0636	2.2865	0.084578	2.9468	0.095527					0.33375	-0.00032797	3.5307	20.269	0.17419	0.84925
40	 12/11/2015  11:29:09  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4209	3.1512	4.3644	2.0953	2.2691	0.083357	2.9959	0.096057					0.25177	-0.00018981	4.0713	19.178	0.21229	0.95206
41	 12/11/2015  11:29:20  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4712	3.0713	4.3411	2.051	2.2902	0.085221	3.037	0.09652					0.28419	0.00015687	3.8267	19.728	0.19397	0.98929
42	 12/11/2015  11:29:31  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3543	3.0711	4.3405	2.0187	2.3218	0.083513	3.0299	0.096042					0.24048	-0.00011468	4.1115	19.061	0.2157	0.94115
43	 12/11/2015  11:29:42  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5194	3.2434	4.6324	2.0813	2.5511	0.080992	3.2543	0.094427					0.29213	0.00018549	4.2421	24.602	0.17243	0.98753
44	 12/11/2015  11:29:53  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4972	3.2212	4.6225	2.0838	2.5386	0.082288	3.2048	0.09517					0.28057	0.00028205	4.3954	24.351	0.1805	0.98906
45	 12/11/2015  11:30:04  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3749	3.2058	4.6216	1.9568	2.6648	0.081396	3.3245	0.095611					0.24184	-1.6659E-5	4.5827	24.464	0.18733	0.95969
46	 12/11/2015  11:30:15  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5237	3.2376	4.6286	2.0368	2.5918	0.081152	3.2211	0.094539					0.23692	0.00015971	4.5077	24.328	0.18529	0.93856
47	 12/11/2015  11:30:25  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.458	3.2265	4.6089	2.0066	2.6023	0.080666	3.2779	0.094498					0.24069	-4.5137E-6	4.6093	24.485	0.18825	0.95936
48	 12/11/2015  11:30:36  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4292	3.2672	4.6662	2.0738	2.5924	0.079851	3.2551	0.094296					0.31223	-0.00012597	4.2823	24.973	0.17148	0.93204
49	 12/11/2015  11:30:47  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4845	3.2749	4.5954	2.1528	2.4426	0.081074	3.0951	0.0948					0.30516	0.00016551	4.2765	24.891	0.17181	0.9545
50	 12/11/2015  11:30:58  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5216	3.2549	4.6454	2.0621	2.5833	0.081038	3.2686	0.094206					0.28215	0.00028101	4.3796	24.842	0.1763	0.9908
51	 12/11/2015  11:31:09  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5367	3.266	4.6455	2.1289	2.5166	0.08103	3.172	0.094358					0.27769	0.00025161	4.4002	24.84	0.17714	0.99307
