Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	TLC
 
 
Data
----
 
 Event  ID  -> 	5	5	6	6	12	12	12	12	12	16	16	16	16	16	17	17	17	17	17
    	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 
    	 Closed  tube  cal. 	 Closed  tube  cal. 	 Open  tube  cal. 	 Open  tube  cal. 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 
Time	Vol	Pcyl	Vol	Pcyl	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr
s	mL	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O
    																			
0	0	0.51995	0	0.22727	0	1.5653	1.5749	0	1.5381	0	2.207	2.2183	0	2.2114	0	2.5031	2.52	0	2.499
0.0039063	0.00012	0.52048	-0.00005	0.22639	0.00009	1.5236	1.5354	0.000359	1.5018	-0.00011	2.1992	2.2178	-0.000059	2.2041	0.00015	2.5169	2.5331	0.000054	2.5144
0.0078125	0.00008	0.52258	-0.00016	0.22323	0.0001	1.4904	1.5046	0.000578	1.4799	-0.00021	2.1938	2.2197	-0.000127	2.1938	0.00023	2.5278	2.5426	0.000067	2.53
0.011719	0.00001	0.52724	-0.00026	0.22156	0.00003	1.4701	1.4871	0.000635	1.4654	-0.00016	2.1906	2.2188	-0.00006	2.1848	0.00022	2.5355	2.5491	-0.000003	2.5407
0.015625	0.00007	0.53597	-0.0003	0.22153	0.00005	1.4634	1.4784	0.000701	1.4529	-0.00003	2.1981	2.2212	0.000026	2.1922	0.0002	2.5427	2.5517	-0.000069	2.5427
0.019531	0.00018	0.54367	-0.00025	0.22043	0.00043	1.489	1.493	0.000912	1.4686	0.00033	2.2407	2.2476	0.000099	2.2297	0.00044	2.5686	2.5691	-0.000002	2.5551
0.023438	0.00014	0.54546	-0.00018	0.21816	0.00137	1.583	1.5743	0.001238	1.5567	0.0012	2.3415	2.3271	0.000315	2.3131	0.0012	2.6418	2.638	0.000288	2.6085
0.027344	-0.00001	0.55082	-0.00018	0.21889	0.00283	1.7519	1.7371	0.001606	1.721	0.00264	2.4814	2.4558	0.000847	2.427	0.00253	2.7556	2.7565	0.000876	2.6983
0.03125	0.00003	0.57736	-0.00026	0.22378	0.00462	1.9579	1.944	0.002053	1.9201	0.00441	2.6143	2.596	0.00175	2.5376	0.00418	2.8665	2.8735	0.001798	2.7896
0.035156	0.00031	0.63682	-0.00033	0.22813	0.0065	2.162	2.1524	0.002605	2.1132	0.00618	2.7138	2.7132	0.00287	2.6272	0.00579	2.9441	2.9538	0.002906	2.8614
0.039063	0.00069	0.72942	-0.00033	0.22873	0.00843	2.3458	2.3417	0.003341	2.2834	0.00777	2.7793	2.7925	0.004038	2.694	0.00716	2.9878	3.0013	0.003982	2.9119
0.042969	0.00119	0.84733	-0.00025	0.22747	0.01034	2.4996	2.5018	0.004252	2.4309	0.00914	2.8219	2.8414	0.005123	2.7444	0.00822	3.0089	3.0237	0.004909	2.9423
0.046875	0.00181	0.98473	-0.00018	0.22754	0.01201	2.6177	2.6231	0.005156	2.5524	0.01031	2.8543	2.8749	0.006082	2.7867	0.00907	3.011	3.0215	0.005739	2.9487
0.050781	0.00254	1.1419	-0.00015	0.2282	0.01339	2.7029	2.7053	0.005976	2.6431	0.01132	2.8822	2.9024	0.006907	2.8264	0.00978	2.9952	3.0016	0.006553	2.9332
0.054688	0.00338	1.3191	-0.00012	0.22824	0.01456	2.7663	2.7643	0.006732	2.7115	0.01211	2.9044	2.9236	0.007554	2.8641	0.01044	2.9692	2.974	0.007377	2.9096
0.058594	0.00431	1.5072	-0.00005	0.2284	0.01559	2.8192	2.8156	0.007423	2.7696	0.01262	2.9183	2.9334	0.007969	2.8926	0.01101	2.9407	2.9459	0.008127	2.8912
0.0625	0.00528	1.6962	-0.00001	0.22877	0.0165	2.8636	2.8631	0.00804	2.8197	0.01293	2.9241	2.9319	0.008233	2.9063	0.01137	2.9106	2.9179	0.008682	2.875
0.066406	0.00624	1.8831	-0.00008	0.22956	0.01724	2.894	2.8993	0.008581	2.8565	0.01313	2.9233	2.9293	0.008439	2.9077	0.01156	2.8793	2.8886	0.009067	2.8532
0.070313	0.00714	2.0699	-0.00018	0.23126	0.0178	2.9096	2.9196	0.009028	2.8788	0.01331	2.919	2.9304	0.008646	2.9029	0.01169	2.8521	2.8643	0.00937	2.8322
0.074219	0.00805	2.2568	-0.00018	0.23241	0.01821	2.917	2.9299	0.009396	2.8905	0.01351	2.9149	2.9289	0.008864	2.8979	0.0118	2.8349	2.8501	0.009593	2.8215
0.078125	0.00903	2.4402	-0.00011	0.23234	0.01857	2.9208	2.9374	0.009727	2.8954	0.01373	2.9134	2.9215	0.009093	2.8985	0.01188	2.8261	2.8416	0.009725	2.8192
0.082031	0.00999	2.6138	-0.0001	0.23213	0.01894	2.9254	2.9428	0.010065	2.9013	0.01391	2.9152	2.9181	0.009259	2.9084	0.01189	2.8195	2.8323	0.009774	2.8177
0.085938	0.01089	2.7728	-0.00013	0.23152	0.01933	2.9379	2.947	0.010363	2.9187	0.01396	2.9209	2.9275	0.009271	2.9211	0.01186	2.8149	2.8251	0.009771	2.8161
0.089844	0.01172	2.9152	-0.00011	0.23125	0.01968	2.9602	2.9577	0.010573	2.9455	0.01401	2.9315	2.942	0.009253	2.928	0.01185	2.8174	2.827	0.00974	2.8184
0.09375	0.01243	3.044	-0.00007	0.2313	0.02003	2.9855	2.9789	0.010749	2.9693	0.01424	2.9481	2.9559	0.009364	2.9345	0.01194	2.83	2.8386	0.009746	2.8246
0.097656	0.013	3.1684	-0.00008	0.23083	0.02041	3.0051	3.0012	0.011002	2.9799	0.01464	2.9723	2.9766	0.009611	2.9505	0.0122	2.849	2.8547	0.009883	2.8333
0.10156	0.01356	3.2938	-0.00011	0.23025	0.0209	3.0169	3.0159	0.011413	2.9802	0.01516	3.0018	3.0087	0.009938	2.9759	0.01262	2.8708	2.8747	0.01016	2.8475
0.10547	0.01422	3.4142	-0.00009	0.22948	0.02152	3.0256	3.026	0.011972	2.9805	0.01572	3.0311	3.0412	0.010296	3.0032	0.01313	2.8957	2.9028	0.010499	2.8739
0.10938	0.01488	3.525	-0.00008	0.22819	0.02222	3.0359	3.0384	0.012604	2.985	0.01625	3.0551	3.0617	0.010674	3.0244	0.01358	2.928	2.9396	0.010736	2.9138
0.11328	0.0154	3.6275	-0.00009	0.22764	0.02302	3.0487	3.0541	0.013315	2.9914	0.0168	3.0731	3.0746	0.011104	3.038	0.01399	2.9707	2.9781	0.010874	2.9556
0.11719	0.01586	3.7194	-0.00006	0.22751	0.02395	3.068	3.0733	0.014115	3.007	0.01742	3.091	3.0922	0.011601	3.0506	0.01459	3.0215	3.0177	0.011135	2.9928
0.12109	0.01634	3.7967	0.00007	0.22688	0.02496	3.0996	3.1026	0.014925	3.0417	0.01815	3.1152	3.1197	0.012168	3.0706	0.01545	3.0768	3.0667	0.011632	3.0375
0.125	0.01676	3.8552	0.00027	0.22643	0.02599	3.1464	3.1488	0.015642	3.0946	0.01897	3.1471	3.1523	0.012778	3.0987	0.01638	3.1364	3.128	0.012173	3.0979
0.12891	0.01709	3.8954	0.00038	0.22751	0.02703	3.2056	3.2086	0.016292	3.1554	0.01988	3.1852	3.1864	0.013445	3.131	0.01724	3.1962	3.1912	0.012649	3.1602
